title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Baldo: The Guardian Owls ,Naps Team,Naps Team,2021-08-27,"Nintendo Switch,  Xbox One,  PC,  PlayStation 4","Action,  Adventure",4,Gabriel Moss
Brew Board Game ,,Pandasaurus,2021-06-16,Tabletop,"Simulation,  Board",6,Matt Thrower
WRC 10 ,Kylotonn,Nacon,2021-09-02,"Xbox One,  Xbox Series X|S,  Nintendo Switch,  PC,  PlayStation 5,  PlayStation 4",Racing,8,Luke Reilly
King's Bounty 2 ,1C Entertainment,1C Entertainment,2021-08-24,"PC,  Xbox One,  PlayStation 4,  Nintendo Switch",Strategy,6,Leana Hafer
Sonic Colors: Ultimate ,"Sonic Team,  Dimps",SEGA,2021-09-07,"PlayStation 4,  Xbox One,  Nintendo Switch,  PC",Platformer,8,Mitchell Saltzman
Maneater: Truth Quest ,Tripwire Interactive,Tripwire Interactive,2020-05-22,"PlayStation 4,  Xbox One,  PC,  Xbox Series X|S,  PlayStation 5,  Nintendo Switch",Action,6,Travis Northup
No More Heroes 3 ,Grasshopper Manufacture,Marvelous Entertainment,2021-08-27,Nintendo Switch,Action,6,Matt Kim
Naraka: Bladepoint ,24 Entertainment,"NetEase , 24 Entertainment",2021-08-11,"PC,  PlayStation 5","Action,  Battle Royale,  Online",8,Kyle Campbell
I Expect You To Die 2 ,Schell Games,Schell Games,,"PC,  Oculus Quest,  PlayStation 4","Puzzle,  VR",8,Gabriel Moss
Aliens: Fireteam Elite ,Cold Iron Studios,FoxNext Games,2021-08-24,"PC,  PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S",Shooter,7,Kyle Campbell
Hoa ,Skrollcat Studio,PM Studios,2021-08-24,"PC,  Nintendo Switch,  Macintosh,  PlayStation 5,  PlayStation 4,  Xbox One,  Xbox Series X|S","Puzzle,  Platformer",7,Tristan Ogilvie
Psychonauts 2 ,Double Fine Productions,Xbox Game Studios,2021-08-25,"Xbox Series X|S,  Xbox One,  Macintosh,  PlayStation 4,  Linux,  PC","Adventure,  Platformer",8,Tom Marks
Madden NFL 22 ,EA Tiburon,Electronic Arts,2021-08-20,"Xbox Series X|S,  PlayStation 5","Sports,  Football",6,Kat Bailey
Ghost of Tsushima: Iki Island DLC ,Sucker Punch,Sony Interactive Entertainment,2020-07-17,"PlayStation 4,  PlayStation 5","Action,  Adventure",8,Mitchell Saltzman
Recompile ,Phigames,Dear Villagers,2021-08-19,"PlayStation 5,  PC,  Xbox Series X|S,  Xbox One,  PlayStation 4","Action,  Adventure",6,Travis Northup
Twelve Minutes ,Nomada Studio,Annapurna Interactive,2021-08-19,"Xbox One,  PC,  Xbox Series X|S",Adventure,8,Ryan McCaffrey
Descent: Legends of the Dark ,,Fantasy Flight Games,2021-08-05,Tabletop,"RPG,  Board",7,Matt Thrower
Humankind ,Amplitude Studios,SEGA,2021-04-22,"Stadia,  PC","Strategy,  4X",7,Leana Hafer
Road 96 ,Digixart Entertainment,Digixart Entertainment,2021-08-16,"PC,  Nintendo Switch",Adventure,8,Tristan Ogilvie
Boyfriend Dungeon ,Kitfox Games,Kitfox Games,2021-08-11,"Nintendo Switch,  PC","Romance,  RPG",6,Miranda Sanchez
Axiom Verge 2 ,Thomas Happ Games,Thomas Happ Games,2021-08-11,"PC,  Nintendo Switch,  PlayStation 4,  PlayStation 5","Action,  Platformer",7,Tristan Ogilvie
Assassin's Creed Valhalla: The Siege of Paris ,Ubisoft Montreal,Ubisoft,2021-08-12,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC","Action,  Adventure,  DLC / Expansion",6,Jarrett Green
Unmatched: Cobble & Fog ,,Restoration Games,2020-01-01,Tabletop,"Fighting,  Board",8,Matt Thrower
